,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,vivre,exister,respirer,subsister,habiter,occuper,peupler,être,loger,camper,mourir
Présent Je,vis,existe,respire,subsiste,habite,occupe,peuple,suis,loge,campe,meurs
Présent tu,vis,existes,respires,subsistes,habites,occupes,peuples,es,loges,campes,meurs
Présent Il,vit,existe,respire,subsiste,habite,occupe,peuple,est,loge,campe,meurt
Présent Nous,vivons,existons,respirons,subsistons,habitons,occupons,peuplons,sommes,logeons,campons,mourons
Présent Vous,vivez,existez,respirez,subsistez,habitez,occupez,peuplez,êtes,logez,campez,mourez
Présent Ils,vivent,existent,respirent,subsistent,habitent,occupent,peuplent,sont,logent,campent,meurent
Imparfait Je,vivais,existais,respirais,subsistais,habitais,occupais,peuplais,étais,logeais,campais,mourais
Imparfait Tu,vivais,existais,respirais,subsistais,habitais,occupais,peuplais,étais,logeais,campais,mourais
Imparfai Il,vivait,existait,respirait,subsistait,habitait,occupait,peuplait,était,logeait,campait,mourait
Imparfait nous,vivions,existions,respirions,subsistions,habitions,occupions,peuplions,étions,logions,campions,mourions
Imparfait Vous,viviez,existiez,respiriez,subsistiez,habitiez,occupiez,peupliez,étiez,logiez,campiez,mouriez
Imparfait Ils,vivaient,existaient,respiraient,subsistaient,habitaient,occupaient,peuplaient,étaient,logeaient,campaient,mouraient
Futur Je,vivrai,existerai,respirerai,subsisterai,habiterai,occuperai,peuplerai,serai,logerai,camperai,mourrai
Futur tu,vivras,existeras,respireras,subsisteras,habiteras,occuperas,peupleras,seras,logeras,camperas,mourras
Futur il,vivra,existera,respirera,subsistera,habitera,occupera,peuplera,sera,logera,campera,mourra
Futur nous,vivrons,existerons,respirerons,subsisterons,habiterons,occuperons,peuplerons,serons,logerons,camperons,mourrons
Futur vous,vivrez,existerez,respirerez,subsisterez,habiterez,occuperez,peuplerez,serez,logerez,camperez,mourrez
Futur ils,vivront,existeront,respireront,subsisteront,habiteront,occuperont,peupleront,seront,logeront,camperont,mourront